Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”,Name: “Table 1 of 1 on page 35 of 64”
Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33
,,,,,,,,,,,,,,,,,,
Ta b le,18--Volum e,18--Volum e,of grow i n g,s tock,on,"ti m b e rla n d ,",b y,b r oad,"m a n a ge m e n t cla s s ,",s p e ci e s,"grou p ,",a n d,e ta n d - a ge,e ta n d - a ge,"cla s s ,",,,
Coastal Pla i n,Coastal Pla i n,of,"Virgin i a ,",1 9 9 1,,,,,,,,,,,,,,
Broad,m anage m e n t,m anage m e n t,,,No,,,,,,Sta n d - a ge,,cla s s,( y e a r s ),,,,
cla s s,a n d,,A ll,m anage able,m anage able,,,,,,,,,,,,,
s p e ci e s,grou p,grou p,cla s s e s,s tand,s tand,O-10,,11-20,21-30,31-40,,41-50,,51-60,51-60,61-70,71-80,81+
,,,,,,,,,,Th ou s a n d,cu b i c,fe e t,,,,,,
Pin e,p la n tation,p la n tation,,,,,,,,,,,,,,,,
Softw ood,Softw ood,,"659 ,603",,- -,"7,565","7,565","205,678","326,353","120,007","120,007",,_-,,__,- -,- -,- -
H ardw ood,H ardw ood,,"75,247",,- -,"6,764","6,764","17,353","39 ,237","11,89 3","11,89 3",,- -,,__,__,- -,- -
Tota l,Tota l,,"734,850",,- -,"14,329","14,329","223,031","365,59 0","131,9 00","131,9 00",,__,,-_,- -,- -,- -
N a tu r a l p i n e,N a tu r a l p i n e,,,,,,,,,,,,,,,,,
Softw ood,Softw ood,,"1,153,465",,"7,9 16","7,353","7,353","41,045","134,318","159 ,258","159 ,258","303,69 6","303,69 6","232,19 2","232,19 2","149 ,241","50,382","68,064"
H ardw ood,H ardw ood,,"253,055",,808,"11,865","11,865","8,571","13,886","32,608","32,608","59 ,549","59 ,549","46,027","46,027","42,225","15,004","22,512"
Tota l,Tota l,,"1,406,520",,"8,724","19 ,218","19 ,218","49 ,616","148,204","19 1,866","19 1,866","363,245","363,245","278,219","278,219","19 1,466","65,386","9 0,576"
Oak -pine,,,,,,,,,,,,,,,,,,
Softw ood,Softw ood,,"39 8,309",,"9 ,09 0","6,707","6,707","36,526","39 ,404","37,336","37,336","48,632","48,632","70,439","70,439","63,648","37,345","49 ,182"
H ardw ood,H ardw ood,,"521,758","4,9 5 9","4,9 5 9","26,109","26,109","42,331","40,102","47,331","47,331","73,081","73,081","9 0,275","9 0,275","9 3,743","43,59 0","60,237"
Tota l,Tota l,,"9 20,067","14,049","14,049","32,816","32,816","78,857","79 ,506","84,667","84,667","121,713","121,713","160,714","160,714","157,39 1","80,9 35","109 ,419"
Upland,h ardw ood,h ardw ood,,,,,,,,,,,,,,,,
Softw ood,Softw ood,,"19 4,558","10,216","10,216","2,700","2,700","11,871","15,9 14","23,125","23,125","25,9 41","25,9 41","42,804","42,804","24,417","21,420","16,150"
H ardw ood,H ardw ood,,"2,200,753","9 5,318","9 5,318","70,765","70,765","74,853","75,39 4","19 7,39 5","19 7,39 5","281,284","281,284","380,305","380,305","303,263","309 ,228","412,9 48"
Total,Total,,"2,39 5,311","105,534","105,534","73,465","73,465","86,724","9 1,308","220,520","220,520","307,225","307,225","423,109","423,109","327,680","330,648","429 ,09 8"
Low land,h ardw ood,h ardw ood,,,,,,,,,,,,,,,,
Softw ood,Softw ood,,"74,508",,"4,69 5",827,827,"1,042","1,274","2,156","2,156",,785,"7,476","7,476","12,821","8,9 74","34,458"
H ardw ood,H ardw ood,,"671,378","63,9 75","63,9 75","2,385","2,385","21,441","10,9 76","30,870","30,870","37,203","37,203","9 2,678","9 2,678","107,367","120,813","183,670"
Tota l,Tota l,,"745,886","68,670","68,670","3,212","3,212","22,483","12,250","33,026","33,026","37,9 88","37,9 88","100,154","100,154","120,188","129 ,787","218,128"
A ll ty p e s,A ll ty p e s,,,,,,,,,,,,,,,,,
Softw ood,Softw ood,,"2,480,443","31,9 17","31,9 17","25,152","25,152","29 6,162","517,263","341,882","341,882","379 ,054","379 ,054","352,9 11","352,9 11","250,127","118,121","167,854"
H ardw ood,H ardw ood,,"3,722,19 1","165,060","165,060","117,888","117,888","164,549","179 ,59 5","320,09 7","320,09 7","451,117","451,117","609 ,285","609 ,285","546,59 8","488,635","679 ,367"
Tota l,Tota l,,"6,202,634","19 6,9 77","19 6,9 77","143,040","143,040","460,711","69 6,858","661,9 79","661,9 79","830,171","830,171","9 62,19 6","9 62,19 6","79 6,725","606,756","847,221"
