Name: “Table 1 of 1 on page 68 of 92”,Name: “Table 1 of 1 on page 68 of 92”,Name: “Table 1 of 1 on page 68 of 92”,Name: “Table 1 of 1 on page 68 of 92”,Name: “Table 1 of 1 on page 68 of 92”,Name: “Table 1 of 1 on page 68 of 92”,Name: “Table 1 of 1 on page 68 of 92”,Name: “Table 1 of 1 on page 68 of 92”
Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68
,,,,,,,
Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,Appendix C—Supplemental Tables,,,,
"Table C.2—Area of forest land by ownership class and land status, Virginia, 2007","Table C.2—Area of forest land by ownership class and land status, Virginia, 2007","Table C.2—Area of forest land by ownership class and land status, Virginia, 2007","Table C.2—Area of forest land by ownership class and land status, Virginia, 2007","Table C.2—Area of forest land by ownership class and land status, Virginia, 2007",,,
,,,Unreserved,,,Reserved,
,All forest,,Timber-,Unpro-,,Pro-,Unpro-
Ownership class,land,Total,land,ductive,Total,ductive,ductive
,,,thousand acres,thousand acres,,,
Forest Service,,,,,,,
National forest,"1,749.5","1,694.5","1,638.7",55.8,55.0,55.0,0.0
Total,"1,749.5","1,694.5","1,638.7",55.8,55.0,55.0,0.0
Other Federal,,,,,,,
National Park Service,217.4,0.0,0.0,0.0,217.4,217.4,0.0
U.S. Fish and Wildlife Service,82.6,5.9,5.9,0.0,76.7,76.7,0.0
Dept. of Defense/Dept. of Energy,138.2,132.2,132.2,0.0,5.9,5.9,0.0
Other Federal,93.3,93.3,93.3,0.0,0.0,0.0,0.0
Total,531.6,231.5,231.5,0.0,300.1,300.1,0.0
State and local government,,,,,,,
State,300.2,271.6,271.6,0.0,28.6,28.6,0.0
Local,217.2,194.7,194.7,0.0,22.4,16.2,6.2
Total,517.4,466.4,466.4,0.0,51.0,44.8,6.2
Forest industry,,,,,,,
Corporate,549.8,549.8,549.8,0.0,0.0,0.0,0.0
Individual,1.3,1.3,1.3,0.0,0.0,0.0,0.0
Total,551.2,551.2,551.2,0.0,0.0,0.0,0.0
Nonindustrial private,,,,,,,
Corporate,"2,262.9","2,262.9","2,258.9",4.1,0.0,0.0,0.0
Conservation/natural,,,,,,,
resources organization,92.3,92.3,86.1,6.2,0.0,0.0,0.0
Unincorporated local,,,,,,,
partnership/association/club,113.3,113.3,113.3,0.0,0.0,0.0,0.0
Individual,"9,906.7","9,906.7","9,897.2",9.5,0.0,0.0,0.0
Total,"12,375.3","12,375.3","12,355.6",19.7,0.0,0.0,0.0
All classes,"15,724.8","15,318.8","15,243.3",75.5,406.1,399.8,6.2
Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,,,,,
"0.0 = no sample for the cell or a value of > 0.0 but 
    ","0.0 = no sample for the cell or a value of > 0.0 but 
    ",,,,,,
56,,,,,,,
